product_id,brand,model_name,product_name,ram_gb,storage_gb,color,category,price,old_price,discount_percent
329676,Nokia,Điện thoại Nokia HMD 105 4G,Điện thoại Nokia HMD 105 4G,,,Hồng,Điện thoại,750000,750000.0,0
311033,Nokia,Điện thoại Nokia 105 4G Pro,Điện thoại Nokia 105 4G Pro,,,Đen,Điện thoại,780000,780000.0,0
311034,Nokia,Điện thoại Nokia 110 4G Pro,Điện thoại Nokia 110 4G Pro,,,Xanh,Điện thoại,850000,850000.0,0
207956,Nokia,Điện thoại Nokia 220 4G,Điện thoại Nokia 220 4G,,,Cam,Điện thoại,1100000,1100000.0,0
326477,Nokia,Điện thoại Nokia 3210 4G,Điện thoại Nokia 3210 4G,,,Đen,Điện thoại,1490000,1490000.0,0
367596,OPPO,Điện thoại OPPO A6c,Điện thoại OPPO A6c 4GB/64GB,4,64,Nâu,Điện thoại,4690000,4690000.0,0
360244,OPPO,Điện thoại OPPO A6x,Điện thoại OPPO A6x 4GB/64GB,4,64,Titan Tím,Điện thoại,4990000,4990000.0,0
361191,OPPO,Điện thoại OPPO A6t,Điện thoại OPPO A6t 4GB/64GB,4,64,Xanh,Điện thoại,4990000,4990000.0,0
341378,OPPO,Điện thoại OPPO A5,Điện thoại OPPO A5 8GB/128GB,8,128,Xanh lá,Điện thoại,6290000,6290000.0,0
370752,OPPO,Điện thoại OPPO A6,Điện thoại OPPO A6 6GB/128GB,6,128,Vàng,Điện thoại,9790000,9990000.0,0
367598,OPPO,Điện thoại OPPO A6t Pro,Điện thoại OPPO A6t Pro 8GB/128GB,8,128,Trắng,Điện thoại,9890000,10990000.0,10
344650,OPPO,Điện thoại OPPO A6 Pro,Điện thoại OPPO A6 Pro 8GB/256GB,8,256,Titan xanh,Điện thoại,9990000,9990000.0,0
343124,OPPO,Điện thoại OPPO A6 Pro 5G,Điện thoại OPPO A6 Pro 5G 8GB/256GB,8,256,Xanh Dương,Điện thoại,10490000,10990000.0,4
339177,OPPO,Điện thoại OPPO Reno14 F 5G,Điện thoại OPPO Reno14 F 5G 12GB/256GB,12,256,Hồng,Điện thoại,10590000,11290000.0,6
360240,OPPO,Điện thoại OPPO Reno15 F 5G,Điện thoại OPPO Reno15 F 5G 8GB/256GB,8,256,Xanh Dương,Điện thoại,11990000,11990000.0,0
368250,OPPO,Điện thoại OPPO Reno16F 5G,Điện thoại OPPO Reno16F 5G 8GB/128GB,8,128,Trắng,Điện thoại,12990000,14990000.0,13
332934,OPPO,Điện thoại OPPO Reno13 5G,Điện thoại OPPO Reno13 5G 12GB/256GB,12,256,Xanh Dương,Điện thoại,13200000,15700000.0,15
360238,OPPO,Điện thoại OPPO Reno15 5G,Điện thoại OPPO Reno15 5G 8GB/256GB,8,256,Xanh Dương,Điện thoại,14990000,15990000.0,6
317981,OPPO,Điện thoại OPPO Find N3 Flip 5G Hồng,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,12,256,Hồng,Điện thoại,15580000,22580000.0,31
360236,OPPO,Điện thoại OPPO Reno15 Pro 5G,Điện thoại OPPO Reno15 Pro 5G 12GB/256GB,12,256,Xanh dương nhạt,Điện thoại,17990000,18990000.0,5
368099,OPPO,Điện thoại OPPO Reno16 5G,Điện thoại OPPO Reno16 5G 8GB/256GB,8,256,Tím nhạt,Điện thoại,18590000,18990000.0,0
368101,OPPO,Điện thoại OPPO Reno16 Pro 5G,Điện thoại OPPO Reno16 Pro 5G 12GB/256GB,12,256,Đen,Điện thoại,22470000,25990000.0,13
365402,OPPO,Điện thoại OPPO Find X9s,Điện thoại OPPO Find X9s 12GB/512GB,12,512,Cam nhạt,Điện thoại,25990000,26990000.0,3
364791,OPPO,Điện thoại OPPO Find X9 Ultra,Điện thoại OPPO Find X9 Ultra 12GB/512GB,12,512,Nâu nhạt,Điện thoại,44990000,49990000.0,10
363258,OPPO,Điện thoại OPPO Find N6 5G,Điện thoại OPPO Find N6 5G 16GB/512GB,16,512,Titan xanh,Điện thoại,60990000,64990000.0,6
341802,Samsung,Điện thoại Samsung Galaxy A07,Điện thoại Samsung Galaxy A07 4GB/64GB,4,64,Đen,Điện thoại,3490000,3890000.0,10
361709,Samsung,Điện thoại Samsung Galaxy A07 5G,Điện thoại Samsung Galaxy A07 5G 4GB/128GB,4,128,Tím,Điện thoại,5090000,5090000.0,0
341797,Samsung,Điện thoại Samsung Galaxy A17,Điện thoại Samsung Galaxy A17 4GB/128GB,4,128,Xám,Điện thoại,5490000,5690000.0,3
341688,Samsung,Điện thoại Samsung Galaxy A17 5G,Điện thoại Samsung Galaxy A17 5G 8GB/128GB,8,128,Xám,Điện thoại,6190000,7090000.0,12
368045,Samsung,Điện thoại Samsung Galaxy A27,Điện thoại Samsung Galaxy A27 6GB/128GB,6,128,Xanh đen,Điện thoại,7690000,8490000.0,9
363401,Samsung,Điện thoại Samsung Galaxy A37 5G,Điện thoại Samsung Galaxy A37 5G 6GB/128GB,6,128,Trắng,Điện thoại,9990000,10290000.0,0
363398,Samsung,Điện thoại Samsung Galaxy A57 5G,Điện thoại Samsung Galaxy A57 5G 8GB/128GB,8,128,Tím,Điện thoại,10790000,12490000.0,13
342560,Samsung,Điện thoại Samsung Galaxy S25 FE 5G,Điện thoại Samsung Galaxy S25 FE 5G 8GB/128GB,8,128,Xanh dương nhạt,Điện thoại,13590000,16690000.0,18
